Fecha - Hora, Cuenta, Contenido, Imagen
7:07 PM - 14 Jul 2019,Secretaría Cultura,"¡Domingo de cine en casa! 

El insomnio mantiene a Luz entre el sueño y la vigilia. La realidad se torna perturbadora. La soledad y la angustia la llevarán a realizar un viaje espiritual para despertar. 

Ve gratis Luz nocturna en @filminlatino https://bit.ly/2Sd8lBl ",https://pbs.twimg.com/media/D_TLL9PWsAodsf3.jpg
6:18 PM - 14 Jul 2019,Secretaría Cultura,"#InMemoriam 

Con la proyección del filme CHIN CHIN EL TEPOROCHO (México, 1975), una película dirigida por Gabriel Retes, recordamos al cronista Armando Ramírez.

 Lunes 15 de julio
 19 h
 @CinetecaMexico
 Entrada libre
 Cortesías en taquilla 5",https://pbs.twimg.com/media/D_eqMZjUcAACKVA.jpg
5:15 PM - 14 Jul 2019,Secretaría Cultura,"¡Veamos cine! 

¿Qué tal un clásico? 

Longitud de guerra, dirigida por Gonzalo Martínez Ortega, relata la insurrección del pueblo de Tomochic, Chihuahua, contra la dictadura de Porfirio Díaz y la brutal represión.

Vela gratis en @filminlatino  https://bit.ly/2Y2W33E ",https://pbs.twimg.com/media/D_TKj4SX4AEEExZ.png
11:16 AM - 14 Jul 2019,Secretaría Cultura,"#Convocatorias 

¡Atención fotógrafos y gestores culturales!

El Festival Internacional de Fotografía convoca a formar parte de la Red FotoMéxico, espacio creado para mostrar la diversidad de la producción fotográfica en el país.

Detalles  https://bit.ly/2FM04yo ",https://pbs.twimg.com/media/D_TDPfVWwAET3p5.jpg
10:55 AM - 14 Jul 2019,Secretaría Cultura,"#VeranoEsCultura 

El @INAHmx, a través del Museo Regional de #Guanajuato Alhóndiga de Granaditas, te invita a las actividades que tiene programadas en estas vacaciones. 

Descubre los talleres sobre antropología, historia y arqueología, del 22 al 26 de julio.",https://pbs.twimg.com/media/D_Oev75XoAAwtg8.jpg
10:35 AM - 14 Jul 2019,Secretaría Cultura,"#Convocatorias 

¿Eres cantante? ¡Esto es para ti! 

Participa en el Programa de Estímulo a Jóvenes Cantantes, cuyo propósito es apoyar la profesionalización de jóvenes mexicanos a través de un esquema artístico de excelencia. 

Consulta las bases  https://bit.ly/2DTVCuh ",https://pbs.twimg.com/media/D_TQQh0XUAAY-79.jpg
10:25 AM - 14 Jul 2019,Secretaría Cultura,"#CubaVa. Gráfica, historia y Revolución

Esta muestra se adentra en la gráfica cubana desde los inicios de la Revolución en la isla. ¡Disfrútala en la @GJMVmx! #DomingoDeMuseos",https://pbs.twimg.com/media/D_c9UlXU8AA0y4L.jpg
9:53 AM - 14 Jul 2019,Secretaría Cultura,"¡Aún estás a tiempo! No te pierdas La Consagración de la Primavera en el @CC_LosPinos 

 14:30 h
 Salón Adolfo López Mateos 
 Acceso por puerta 4",https://pbs.twimg.com/media/D_c10tGU8AAtm1b.jpg
8:06 AM - 14 Jul 2019,Secretaría Cultura,"#Museos 

¡Vamos al @mna_inah!

En él se expone Pierre Verger en México. Con los pies en la tierra, integrada por 188 fotografías. 

Las imágenes muestran la visión del fotógrafo francés sobre las fiestas, rostros y vida rural de México.

Detalles  https://bit.ly/32oscSt ",https://pbs.twimg.com/media/D_S2A3EWwAUep38.jpg
7:06 PM - 13 Jul 2019,Secretaría Cultura," Nos vemos en el Complejo Cultural Los Pinos (@CC_LosPinos) para disfrutar de La Consagración de la Primavera.

 Domingo 14 de julio, 14:30 h
 Salón Adolfo López Mateos",https://pbs.twimg.com/media/D_ZrkPZW4AEbb0I.jpg
6:08 PM - 13 Jul 2019,Secretaría Cultura," La convocatoria cierra este domingo 

Las muestras participantes se sumarán al programa expositivo del festival #FotoMéxico y aparecerán en el catálogo impreso y digital de 2019.

¡Participa!  http://bit.ly/2I7xZEj ",https://pbs.twimg.com/media/D_XE0ttUwAMprT5.jpg
5:27 PM - 13 Jul 2019,Secretaría Cultura,"En esta obra titulada Unos cuantos piquetitos, #FridaKahlo ilustra con crudeza y sin censura la brutalidad de un feminicidio.

Una mujer es asesinada por un hombre –su pareja–; él sostiene en la mano el cuchillo que utilizó para herirla en varias partes de su cuerpo.",https://pbs.twimg.com/media/D_XWp3bUIAA9Wcw.jpg
3:39 PM - 13 Jul 2019,Secretaría Cultura,"#DiplomaciaCultural  México en España: El perro del hortelano, montaje de la Compañía Nacional de Teatro, también se presenta en el Festival de Teatro Clásico de Olmedo, #Valladolid, el 17 de julio y en el Festival de Teatro y Danza Castillo de Niebla, #Huelva, el 20 de julio",https://pbs.twimg.com/media/D_Y7d1zVUAE_3Mi.jpg
3:39 PM - 13 Jul 2019,Secretaría Cultura,"#DiplomaciaCultural  Con una versión ubicada en el México de la década de 1940, la Compañía Nacional de Teatro (@CNTeatromx) estrena en España –dentro del programa del @festivalalmagro– su montaje de El perro del hortelano, de Lope de Vega, con la dirección de Angélica Rogel.",https://pbs.twimg.com/media/D_Y5BuJU0AArtAq.jpg
11:33 AM - 13 Jul 2019,Secretaría Cultura,"Te compartimos cinco datos sobre #FridaKahlo y sus obras.

¿Cuál de sus pinturas es tu favorita?",https://pbs.twimg.com/media/D_Ul-VJUEAEIPQ0.jpg
